date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
st 11.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1523 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,994 Kč,       
pá 20.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1523 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,pá 06:15 Praha ,FAO,15:50 Faro ,Ryanair,994 Kč,       
so 14.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1523 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,so 06:15 Praha ,FAO,15:50 Faro ,Ryanair,994 Kč,       
st 09.10.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1602 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,1073 Kč,       
út 10.09.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1613 Kč,PRG,06:35,STN,07:35 Londýn ,Ryanair,1018 Kč,5       ,STN,út 06:35 Praha ,FAO,20:55 Faro ,Ryanair,594 Kč,1       
út 10.09.2019,PRG,15:05,FAO,20:55 Faro ,6:50 h / 1 přestup,1330 Kč,PRG,15:05,STN,15:55 Londýn ,easyJet,735 Kč,7       ,STN,út 15:05 Praha ,FAO,20:55 Faro ,Ryanair,594 Kč,1       
út 10.09.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1364 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,523 Kč,6       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,840 Kč,6       
so 05.10.2019,PRG,15:10,FAO,21:45 Faro ,7:35 h / 1 přestup,1364 Kč,PRG,15:10,LGW,16:20 Londýn ,easyJet,523 Kč,4       ,LGW,so 15:10 Praha ,FAO,21:45 Faro ,easyJet,840 Kč,5       
po 30.09.2019,PRG,12:25,FAO,21:25 Faro ,10:00 h / 1 přestup,1366 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,675 Kč,2       ,LGW,po 12:25 Praha ,FAO,21:25 Faro ,easyJet,690 Kč,8       
út 15.10.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1395 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,584 Kč,3       ,LGW,út 12:25 Praha ,FAO,19:25 Faro ,easyJet,810 Kč,8       
