date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight_1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
po 26.08.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,po 16:20 Brusel ,FAO,18:15 Faro ,Ryanair,838 Kč,       
čt 22.08.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,čt 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,838 Kč,       
pá 13.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,pá 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,838 Kč,       
st 18.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1367 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,838 Kč,       
čt 19.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,čt 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,838 Kč,       
út 20.08.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,838 Kč,2       
ne 15.09.2019,PRG,06:05,FAO,15:50 Faro ,10:45 h / 1 přestup,1367 Kč,PRG,06:05,FAO,07:40 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,ne 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,838 Kč,2       
út 27.08.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,838 Kč,       
út 17.09.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1367 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,838 Kč,       
st 21.08.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1367 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,838 Kč,       
